"region","townsize","gender","agecat","birthmonth","edcat","jobcat","union","empcat","retire","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","addresscat","cars","carown","cartype","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenurecat","carditems","card2items","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","total.card.spend"
"Zone 4","50,000-249,999","Female","18-24","June","Did not complete high school","Sales and Office","No","Less than 2","No","Under $25",5.9,0.3,0.7,"No","Somewhat dissatisfied","Married","Did not complete high school",4,1,1,0,0,0,0,0,0,"Own","Multiple-Family","4 to 7",5,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",16,"Missing","Slightly liberal","Yes","No","No","Other","Platinum","Cash back","No","6 to 10","American Express","Platinum","Airline miles","Yes","2 to 5",16,5,"No","Cereal",16,"No",4.6,78.3,"Yes",24.25,364.75,"Yes",38.5,570.3,"Yes",5.75,65,"No",0,0,"No","Yes","Yes","None","Yes","Yes","Yes","Yes","No","Yes",20,"Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No",609.17
"Zone 1","2,500-9,999","Male","35-49","June","College degree","Managerial and Professional","Yes","6 to 10","No","$75 - $124",18.8,3.34,10.94,"No","Somewhat satisfied","Unmarried","Not married",1,7,2,0,0,0,0,0,5,"Rent","Multiple-Family","8 to 15",2,"Own","Import","Luxury","No","No","Telecommute","Telecommute",31,"Missing","Slightly liberal","No","No","Yes","American Express","Other","None","No","6 to 10","Visa","Platinum","Cash back","No","6 to 10",14,8,"Yes","Energy bar",28,"Yes",5.6,149.45,"Yes",28,776.65,"Yes",57.6,1566.65,"Yes",50.25,1485,"Yes",67.65,1896.65,"Yes","Yes","Yes","Other","Yes","Yes","Yes","Yes","Yes","Yes",15,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",928.29
"Zone 2","10,000-49,999","Male","35-49","January","College degree","Sales and Office","No","Less than 2","No","$75 - $124",3.9,2.28,1.5,"Yes","Somewhat dissatisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Single-family","8 to 15",6,"Own","Import","Luxury","Yes","No","Car","Single occupancy",21,"Missing","Extremely liberal","Yes","Yes","Yes","American Express","None","Cash back","No","6 to 10","Discover","None","None","No","2 to 5",16,7,"No","Oatmeal",30,"Yes",4.6,133.6,"Yes",21.75,647.75,"Yes",42,1245.8,"Yes",9.75,275,"Yes",26.35,772.95,"No","Yes","Yes","Other","Yes","Yes","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes",1264.95
"Zone 2","< 2,500","Female","18-24","December","Some college","Agricultural and Natural Resources","No","Less than 2","No","$25 - $49",20.3,3.89,3.21,"Yes","Highly dissatisfied","Married","Post-undergraduate degree",3,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Own","Domestic","Standard","Yes","Yes","Car","Single occupancy",35,"Missing","Moderate","Yes","Yes","No","Mastercard","Other","Airline miles","Yes","2 to 5","Visa","Gold","None","No","2 to 5",14,3,"Yes","Energy bar",14,"Yes",6.95,100.45,"Yes",23.25,304.5,"Yes",40.65,472.85,"Yes",22.5,305,"Yes",27.2,406.15,"Yes","Yes","Yes","Other","No","Yes","No","Yes","No","Yes",18,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",494.37
"Zone 3","50,000-249,999","Male","25-34","April","College degree","Managerial and Professional","No","2 to 5","No","$50 - $74",8.3,3.13,2.34,"Yes","Highly dissatisfied","Unmarried","Not married",1,4,1,3,0,0,0,0,0,"Own","Condominium/Townhouse","4 to 7",1,"Own","Import","Standard","Yes","No","Train/Subway","Public transportation",25,"Missing","Liberal","Yes","Yes","No","Visa","Platinum","Airline miles","No","11 to 15","Discover","Other","Airline miles","No","11 to 15",7,7,"No","Cereal",38,"No",12.95,480.65,"No",0,0,"Yes",61.2,2358.2,"Yes",20.5,745,"Yes",59.65,2235.45,"Yes","Yes","Yes","Other","No","No","Yes","Yes","Yes","Yes",26,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",312.83
"Zone 1","50,000-249,999","Male","50-64","January","Did not complete high school","Agricultural and Natural Resources","No","More than 15","No","$125+",10.8,8.63,8.33,"No","Neutral","Married","High school degree",4,1,0,1,0,0,0,0,0,"Own","Single-family","More than 25",4,"Own","Import","Luxury","No","No","Car","Single occupancy",24,"Missing","Extremely conservative","Yes","No","No","Discover","Other","Other","Yes","More than 15","Mastercard","None","None","Yes","More than 15",14,2,"Yes","Oatmeal",46,"No",9.6,405.2,"Yes",22,957.65,"No",0,0,"Yes",10.25,395,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",25,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",901.56
"Zone 2","50,000-249,999","Female",">65","September","College degree","Sales and Office","Yes","6 to 10","Yes","Under $25",9.3,0.27,1.04,"No","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Lease","Domestic","Economy","Yes","No","Car","Single occupancy",26,"Missing","Moderate","Yes","No","No","Mastercard","Other","Other","Yes","2 to 5","Discover","Other","Cash back","No","2 to 5",14,3,"Yes","Oatmeal",12,"Yes",3,47.1,"No",0,0,"Yes",21.15,241.55,"No",0,0,"No",0,0,"No","No","No","Cable modem","No","No","No","No","Yes","Yes",22,"No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",334.12
"Zone 2","> 250,000","Female","35-49","March","Did not complete high school","Agricultural and Natural Resources","No","2 to 5","No","Under $25",7.3,0.26,1.27,"No","Highly dissatisfied","Married","High school degree",3,8,3,0,0,0,0,0,5,"Own","Condominium/Townhouse","8 to 15",1,"Own","Import","Economy","Yes","No","Walk","Non-motorized",28,"Missing","Moderate","No","No","No","Visa","None","Cash back","No","More than 15","Mastercard","None","Other","No","11 to 15",8,8,"Yes","Cereal",35,"No",9.3,289.75,"No",0,0,"Yes",19.45,672.6,"No",0,0,"No",0,0,"Yes","No","No","Dial-up","No","No","No","No","No","Yes",13,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",508.49
"Zone 4","2,500-9,999","Male","50-64","June","College degree","Sales and Office","No","6 to 10","No","$25 - $49",7,0.52,2.14,"No","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","16 to 25",2,"Own","Import","Standard","No","No","Car","Single occupancy",21,"Missing","Slightly liberal","No","No","No","Discover","None","None","No","More than 15","Visa","Gold","Cash back","No","More than 15",6,2,"Yes","Cereal",67,"No",9.15,597.55,"Yes",40.5,2617.5,"No",0,0,"Yes",13.5,830,"No",0,0,"Yes","No","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No",169.09
"Zone 5","< 2,500","Male","50-64","April","College degree","Managerial and Professional","No","11 to 15","Yes","Under $25",18.4,0.09,1.75,"No","Somewhat satisfied","Married","College degree",2,2,2,0,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Domestic","Economy","No","No","Car","Single occupancy",38,"Missing","Liberal","Yes","No","Yes","Discover","Other","Other","No","More than 15","Visa","Other","Cash back","No","More than 15",10,1,"No","Cereal",61,"No",20.35,1267.3,"No",0,0,"No",0,0,"Yes",23.75,1350,"No",0,0,"Yes","No","No","Other","No","No","No","No","Yes","Yes",26,"Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No",111.8
"Zone 1","10,000-49,999","Female","18-24","February","Some college","Sales and Office","No","Less than 2","No","Under $25",16,1.63,2.21,"Yes","Highly dissatisfied","Unmarried","Not married",3,2,2,0,0,0,0,0,0,"Own","Condominium/Townhouse","Less than 3",1,"Own","Domestic","Economy","Yes","No","Bus","Public transportation",27,"Missing","Conservative","Yes","No","Yes","Visa","Platinum","Cash back","No","2 to 5","American Express","Platinum","Airline miles","No","2 to 5",8,8,"No","Energy bar",4,"No",3.55,15.05,"Yes",16.75,58.75,"No",0,0,"Yes",30.75,95,"No",0,0,"No","No","Yes","Dial-up","No","Yes","Yes","No","No","Yes",15,"Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No",365.25
"Zone 2","10,000-49,999","Male","25-34","June","High school degree","Precision Production, Craft, Repair","No","2 to 5","No","Under $25",4.8,0.25,0.66,"Yes","Somewhat satisfied","Unmarried","Not married",1,6,2,4,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",19,"Missing","Liberal","Yes","No","Yes","Visa","Platinum","Airline miles","No","6 to 10","Mastercard","None","None","No","6 to 10",9,2,"Yes","Energy bar",33,"No",9.6,312.5,"Yes",19.5,614.75,"No",0,0,"Yes",13.75,405,"No",0,0,"No","No","No","None","Yes","Yes","No","Yes","No","Yes",17,"Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No",161.59
"Zone 1","50,000-249,999","Female",">65","October","High school degree","Sales and Office","No","6 to 10","Yes","Under $25",15.1,0.46,0.9,"No","Somewhat satisfied","Unmarried","Not married",1,2,2,0,0,0,0,0,0,"Own","Condominium/Townhouse","16 to 25",2,"Lease","Import","Economy","No","No","Car","Single occupancy",26,"Missing","Conservative","No","No","Yes","Visa","Platinum","Other","No","More than 15","Mastercard","Platinum","None","Yes","11 to 15",13,7,"No","Oatmeal",47,"No",18.9,931.25,"Yes",23.5,1153.6,"No",0,0,"Yes",20.75,960,"No",0,0,"Yes","No","No","None","Yes","Yes","No","Yes","Yes","No",0,"No","No","No","No","Yes","No","Yes","No","No","Yes","No","No",286.43
"Zone 2","50,000-249,999","Female","50-64","March","Some college","Operation, Fabrication, General Labor","No","More than 15","Yes","$25 - $49",14.1,2.16,4.75,"No","Somewhat dissatisfied","Married","High school degree",3,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",1,"Own","Import","Standard","Yes","No","Train/Subway","Public transportation",23,"Service","Slightly liberal","No","Yes","No","Mastercard","Gold","Cash back","No","More than 15","American Express","Gold","Airline miles","No","More than 15",18,1,"Yes","Cereal",70,"No",32.1,2219.65,"Yes",34.5,2421.55,"No",0,0,"Yes",19.5,1300,"No",0,0,"No","No","No","None","No","No","No","Yes","No","Yes",14,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",631.36
"Zone 2","2,500-9,999","Female","25-34","February","High school degree","Precision Production, Craft, Repair","No","6 to 10","No","$25 - $49",7.8,0.63,1.79,"No","Neutral","Unmarried","Not married",1,6,0,0,0,0,0,0,6,"Rent","Multiple-Family","8 to 15",4,"Own","Import","Economy","No","Yes","Car","Single occupancy",25,"Missing","Slightly liberal","No","No","No","Discover","None","Other","No","2 to 5","American Express","Gold","Cash back","Yes","2 to 5",15,5,"No","Energy bar",8,"Yes",4.2,35.3,"No",0,0,"Yes",28.45,177.5,"Yes",36,245,"No",0,0,"No","No","Yes","Cable modem","No","Yes","No","Yes","No","Yes",15,"Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes",467.35
"Zone 2","10,000-49,999","Female","50-64","January","High school degree","Sales and Office","No","2 to 5","No","$25 - $49",4.1,0.5,1.3,"No","Neutral","Unmarried","Not married",1,5,0,0,0,0,0,0,5,"Own","Single-family","16 to 25",0,"N/A","N/A","N/A","N/A","Yes","Carpool","Multiple occupancy",26,"Missing","Moderate","No","No","No","Discover","None","Cash back","No","More than 15","Mastercard","Gold","Cash back","Yes","11 to 15",8,6,"No","Oatmeal",39,"No",16,652.1,"Yes",19.75,738.75,"No",0,0,"No",0,0,"No",0,0,"Yes","Yes","No","None","Yes","No","Yes","Yes","No","Yes",22,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No",493.7
"Zone 1","> 250,000","Female",">65","January","Did not complete high school","Sales and Office","No","6 to 10","Yes","Under $25",3.1,0.13,0.15,"No","Somewhat satisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Single-family","More than 25",0,"N/A","N/A","N/A","N/A","Yes","Bus","Public transportation",26,"Missing","Moderate","No","No","No","Visa","Platinum","Cash back","No","More than 15","Mastercard","None","Airline miles","No","11 to 15",3,3,"Yes","Energy bar",39,"No",9.35,329.35,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Dial-up","No","No","No","No","No","Yes",23,"No","No","No","No","Yes","No","No","No","No","No","No","No",103.33
"Zone 1","> 250,000","Female",">65","January","Post-undergraduate degree","Sales and Office","No","11 to 15","Yes","Under $25",13.4,0.47,0.74,"No","Somewhat satisfied","Unmarried","Not married",1,13,0,0,2,0,3,0,8,"Rent","Single-family","More than 25",1,"Own","Import","Economy","Yes","No","Bus","Public transportation",24,"Missing","Extremely liberal","Yes","Yes","Yes","Mastercard","Gold","Airline miles","No","More than 15","Discover","None","Other","Yes","More than 15",7,6,"No","Oatmeal",65,"No",30.75,2063.95,"No",0,0,"No",0,0,"Yes",14.5,900,"No",0,0,"Yes","No","No","Cable modem","No","Yes","No","No","No","No",0,"No","No","No","No","Yes","No","No","No","Yes","No","No","No",197.11
"Zone 4","< 2,500","Male","35-49","February","Some college","Service","No","6 to 10","No","$25 - $49",8,0.43,2.69,"No","Somewhat dissatisfied","Married","High school degree",2,7,0,0,0,0,0,0,7,"Rent","Single-family","4 to 7",1,"Own","Import","Economy","Yes","No","Walk","Non-motorized",27,"Missing","Moderate","No","Yes","Yes","American Express","Platinum","Other","No","11 to 15","Visa","Other","Other","No","6 to 10",4,5,"No","Cereal",24,"No",6.6,160.45,"Yes",28.75,636.8,"No",0,0,"Yes",14.25,350,"No",0,0,"No","Yes","Yes","None","Yes","Yes","Yes","Yes","No","Yes",25,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes",297.71
"Zone 5","50,000-249,999","Female","35-49","June","College degree","Service","No","6 to 10","No","$75 - $124",19.8,8.13,14.64,"Yes","Somewhat satisfied","Married","High school degree",5,1,1,0,0,0,0,0,0,"Own","Single-family","16 to 25",4,"Own","Import","Luxury","No","No","Car","Single occupancy",16,"Missing","Liberal","Yes","Yes","Yes","Discover","Other","Other","Yes","6 to 10","Mastercard","Gold","Other","Yes","6 to 10",6,4,"Yes","Oatmeal",20,"No",11.45,214.15,"Yes",19,367.2,"No",0,0,"Yes",15.25,305,"Yes",30.75,625.6,"No","Yes","Yes","None","Yes","Yes","Yes","Yes","Yes","Yes",16,"Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No",274.48
"Zone 4","50,000-249,999","Male","25-34","April","High school degree","Precision Production, Craft, Repair","No","11 to 15","No","$25 - $49",5.2,1.71,0.16,"No","Neutral","Married","Did not complete high school",4,1,1,0,0,0,0,0,0,"Rent","Multiple-Family","8 to 15",3,"Own","Import","Economy","No","Yes","Car","Single occupancy",23,"Missing","Moderate","No","No","Yes","American Express","Platinum","Cash back","No","6 to 10","Discover","Platinum","Airline miles","Yes","2 to 5",11,6,"No","Energy bar",19,"No",4.5,80.05,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Yes","No","No","DSL","No","No","No","No","No","Yes",19,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",760.55
"Zone 3","10,000-49,999","Female","35-49","June","Did not complete high school","Operation, Fabrication, General Labor","Yes","More than 15","No","$50 - $74",5.3,0.46,2.83,"No","Highly dissatisfied","Unmarried","Not married",1,7,0,0,0,0,0,0,7,"Rent","Multiple-Family","8 to 15",2,"Own","Import","Standard","No","Yes","Car","Single occupancy",23,"Missing","Slightly liberal","No","No","No","Visa","Platinum","Cash back","No","More than 15","Discover","Other","None","Yes","More than 15",12,12,"Yes","Oatmeal",58,"No",30,1655.15,"Yes",18.75,975.55,"No",0,0,"Yes",12,595,"No",0,0,"Yes","No","Yes","None","Yes","Yes","Yes","No","No","Yes",16,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",781.21
"Zone 4","50,000-249,999","Male",">65","September","Did not complete high school","Sales and Office","No","6 to 10","Yes","Under $25",4.7,0.14,0.38,"No","Somewhat satisfied","Married","High school degree",2,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",2,"Lease","Import","Economy","No","No","Car","Single occupancy",24,"Missing","Moderate","No","No","No","Visa","Platinum","Cash back","Yes","More than 15","Discover","Other","Other","No","More than 15",12,1,"No","Oatmeal",71,"No",27.7,1928.45,"Yes",42.25,2887.35,"No",0,0,"Yes",19.75,1385,"Yes",38.8,2730.4,"Yes","Yes","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",15,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No",306.22
"Zone 5","2,500-9,999","Female",">65","May","Did not complete high school","Sales and Office","No","11 to 15","Yes","Under $25",3.6,0.07,0.32,"No","Highly satisfied","Married","High school degree",2,4,3,0,0,1,0,0,0,"Rent","Multiple-Family","16 to 25",0,"N/A","N/A","N/A","N/A","No","Bus","Public transportation",29,"Missing","Moderate","No","Yes","Yes","Visa","Other","Other","No","More than 15","Discover","Platinum","Cash back","No","More than 15",8,6,"Yes","Energy bar",62,"No",12.15,687.1,"No",0,0,"No",0,0,"Yes",30,1940,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",18,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",443.64
"Zone 3","10,000-49,999","Female","50-64","September","High school degree","Operation, Fabrication, General Labor","Yes","More than 15","Yes","$25 - $49",3.5,0.45,0.57,"No","Neutral","Married","High school degree",2,4,0,0,0,0,0,0,4,"Own","Condominium/Townhouse","More than 25",4,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",26,"Missing","Conservative","Yes","No","Yes","Visa","Other","Airline miles","No","2 to 5","Mastercard","Other","Other","No","2 to 5",6,2,"No","Oatmeal",11,"Yes",5.05,57.15,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","Yes","Yes",21,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",244.19
"Zone 1","2,500-9,999","Male","35-49","December","High school degree","Sales and Office","Yes","Less than 2","No","Under $25",15.1,0.48,2.09,"No","Highly dissatisfied","Married","High school degree",5,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","16 to 25",2,"Lease","Import","Economy","No","Yes","Bus","Public transportation",33,"Missing","Slightly conservative","No","No","Yes","Mastercard","Gold","Cash back","No","2 to 5","Discover","Other","None","No","2 to 5",10,9,"Yes","Cereal",12,"No",3.65,38.35,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Dial-up","No","No","No","No","No","Yes",23,"Yes","Yes","No","No","Yes","No","No","No","No","No","No","No",280.69
"Zone 5","< 2,500","Male",">65","January","High school degree","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",16.6,0.24,2.75,"No","Highly satisfied","Married","Some college",2,2,2,0,0,0,0,0,0,"Rent","Multiple-Family","16 to 25",2,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",35,"Missing","Liberal","No","Yes","No","Visa","Gold","Airline miles","No","6 to 10","Discover","None","Other","No","6 to 10",17,9,"No","Oatmeal",18,"No",5.3,70.15,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",21,"Yes","Yes","No","No","No","No","No","No","No","No","No","No",612.01
"Zone 3","2,500-9,999","Male","25-34","February","High school degree","Sales and Office","No","2 to 5","No","$25 - $49",6.3,0.73,0.97,"No","Highly satisfied","Married","Some college",5,6,1,0,0,0,0,0,5,"Own","Single-family","4 to 7",5,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",24,"Service","Moderate","No","No","Yes","Mastercard","None","Airline miles","No","11 to 15","Discover","None","Other","No","11 to 15",5,1,"No","Cereal",44,"No",15.1,712.85,"Yes",34.25,1450.3,"No",0,0,"Yes",8,365,"No",0,0,"No","No","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",22,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",91.44
"Zone 3","50,000-249,999","Female","50-64","February","College degree","Operation, Fabrication, General Labor","No","More than 15","No","$125+",5.4,5.43,9.37,"No","Neutral","Married","High school degree",2,0,0,0,0,0,0,0,0,"Rent","Single-family","More than 25",1,"Own","Import","Luxury","No","No","Car","Single occupancy",20,"Missing","Moderate","No","No","Yes","Discover","Other","Airline miles","No","More than 15","Mastercard","Other","Cash back","No","More than 15",16,6,"No","Oatmeal",61,"No",21.2,1271.65,"Yes",38.75,2398.75,"No",0,0,"Yes",12,745,"Yes",31.75,1818.7,"Yes","Yes","Yes","None","Yes","Yes","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No",1222.82
"Zone 4","2,500-9,999","Male","25-34","April","College degree","Operation, Fabrication, General Labor","No","6 to 10","No","$25 - $49",5,0.52,1.48,"No","Somewhat satisfied","Married","Some college",2,3,0,0,0,0,0,0,3,"Own","Single-family","8 to 15",0,"N/A","N/A","N/A","N/A","Yes","Bus","Public transportation",30,"Missing","Liberal","Yes","Yes","No","Mastercard","Platinum","Other","No","11 to 15","Visa","Platinum","None","No","11 to 15",12,6,"No","Cereal",51,"No",12.75,685.1,"Yes",28.75,1472.05,"No",0,0,"No",0,0,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","No","No","Yes",21,"Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No",612.85
"Zone 5","2,500-9,999","Female","25-34","July","College degree","Agricultural and Natural Resources","No","2 to 5","No","Under $25",2.6,0.05,0.36,"No","Somewhat dissatisfied","Unmarried","Not married",1,3,3,0,0,0,0,0,0,"Rent","Single-family","8 to 15",6,"Lease","Import","Economy","No","Yes","Car","Single occupancy",22,"Missing","Slightly conservative","No","Yes","Yes","Discover","Gold","Airline miles","No","6 to 10","Mastercard","Platinum","Airline miles","Yes","6 to 10",9,4,"Yes","Energy bar",23,"No",5.3,130.9,"No",0,0,"Yes",34.4,750.35,"No",0,0,"Yes",28.1,624.15,"Yes","Yes","Yes","None","No","No","No","Yes","Yes","Yes",21,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",224.2
"Zone 5","< 2,500","Male","35-49","January","Post-undergraduate degree","Managerial and Professional","No","2 to 5","No","$125+",1.8,0.57,3.66,"No","Somewhat dissatisfied","Married","High school degree",4,6,0,0,0,0,0,0,6,"Own","Mobile Home","16 to 25",2,"Own","Import","Luxury","No","No","Walk","Non-motorized",35,"Missing","Slightly liberal","No","No","Yes","Discover","Gold","Cash back","No","11 to 15","Mastercard","Gold","None","No","6 to 10",9,4,"Yes","Energy bar",18,"No",7.2,119.55,"Yes",19,386.8,"Yes",43.35,714.45,"Yes",8.25,155,"Yes",32.05,563.25,"Yes","Yes","Yes","Cable modem","Yes","Yes","Yes","Yes","Yes","Yes",17,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",344.2
"Zone 5","10,000-49,999","Female","18-24","November","High school degree","Sales and Office","No","Less than 2","No","Under $25",10.7,1.4,1.07,"No","Highly dissatisfied","Married","Did not complete high school",5,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","Less than 3",2,"Own","Domestic","Economy","No","No","Car","Single occupancy",27,"Missing","Conservative","Yes","No","Yes","Visa","Platinum","Cash back","No","Less than 2","Mastercard","Platinum","Other","Yes","Less than 2",9,2,"Yes","Energy bar",20,"No",12.7,250.9,"No",0,0,"No",0,0,"Yes",13,250,"No",0,0,"No","No","No","None","Yes","Yes","Yes","No","No","Yes",20,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No",169.06
"Zone 4","< 2,500","Male","18-24","September","Some college","Operation, Fabrication, General Labor","Yes","Less than 2","No","Under $25",2.5,0.08,0.32,"No","Somewhat dissatisfied","Unmarried","Not married",1,4,0,1,0,0,0,0,3,"Own","Single-family","Less than 3",4,"Own","Import","Economy","Yes","No","Car","Single occupancy",27,"Missing","Moderate","No","No","No","Discover","Gold","Other","No","2 to 5","American Express","Other","None","No","2 to 5",11,4,"Yes","Cereal",8,"No",6.85,51.2,"No",0,0,"Yes",19.35,153.5,"No",0,0,"No",0,0,"No","No","No","DSL","No","No","No","No","Yes","Yes",16,"Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No",244.55
"Zone 2","50,000-249,999","Female","35-49","July","Some college","Sales and Office","No","6 to 10","No","$25 - $49",5,0.63,1.27,"No","Neutral","Married","Some college",5,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","16 to 25",3,"Own","Domestic","Economy","No","No","Car","Single occupancy",23,"Missing","Conservative","Yes","Yes","Yes","Mastercard","Platinum","Airline miles","No","More than 15","Discover","Other","Airline miles","No","11 to 15",14,7,"Yes","Energy bar",45,"No",6.9,318.5,"Yes",38.5,1734.35,"No",0,0,"Yes",13.75,640,"No",0,0,"Yes","No","Yes","Other","Yes","Yes","Yes","Yes","No","Yes",18,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No",424.71
"Zone 5","50,000-249,999","Male","50-64","December","Some college","Precision Production, Craft, Repair","No","More than 15","No","$75 - $124",7.5,1.45,5.3,"No","Somewhat satisfied","Unmarried","Not married",1,4,1,3,0,0,0,0,0,"Own","Single-family","More than 25",2,"Own","Import","Luxury","No","No","Car","Single occupancy",17,"Service","Moderate","Yes","Yes","No","Discover","None","Airline miles","No","More than 15","Visa","None","Cash back","No","More than 15",11,1,"No","Oatmeal",62,"No",38.65,2353.3,"Yes",22.5,1380.1,"Yes",33.95,2025.5,"Yes",9.75,595,"Yes",41.1,2445.1,"Yes","Yes","Yes","Other","Yes","Yes","Yes","Yes","No","Yes",18,"Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No",201.69
"Zone 5","10,000-49,999","Male","50-64","October","Some college","Managerial and Professional","No","6 to 10","No","$75 - $124",8.5,0.57,5.8,"No","Neutral","Married","High school degree",2,0,0,0,0,0,0,0,0,"Own","Single-family","More than 25",2,"Own","Domestic","Standard","No","Yes","Walk","Non-motorized",30,"Missing","Conservative","No","No","No","American Express","Other","None","Yes","More than 15","Discover","Platinum","Other","Yes","More than 15",13,5,"Yes","Cereal",46,"No",13.7,574.6,"No",0,0,"No",0,0,"Yes",40,1800,"No",0,0,"No","No","No","DSL","No","No","No","No","No","Yes",20,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",885.74
"Zone 5","< 2,500","Female","35-49","July","Post-undergraduate degree","Managerial and Professional","No","2 to 5","No","$25 - $49",12.6,1.36,3.05,"No","Somewhat dissatisfied","Unmarried","Not married",1,4,4,0,0,0,0,0,0,"Own","Mobile Home","8 to 15",3,"Own","Domestic","Economy","No","No","Car","Single occupancy",27,"Missing","Slightly conservative","Yes","No","Yes","Mastercard","None","Cash back","No","More than 15","Discover","Platinum","Airline miles","No","11 to 15",5,2,"Yes","Energy bar",37,"No",9.45,347.6,"No",0,0,"Yes",44.3,1598.4,"Yes",6.25,220,"No",0,0,"Yes","No","Yes","Cable modem","No","No","Yes","No","Yes","Yes",18,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No",156.53
